Date,Unnamed: 0,level_0,index,Close,SP Daily Return,SP Trailing 4 Weeks Return,SP Trailing 1 Week Return,Cumulative Returns,CPIUS,MoM,YoY,RollingMean12,m2,m2_growth,MoMGrowthChange,meanvalue_x,OneYearYield,TenYield,spread,unemp_rate,unemp_growth,meanvalue_y,T10Y2Y,Inverted12months,Shiller_P/E,ConsumerConfidence,MoMConsumerConf,RollingConsConf,InflationExp,MoMInflationExp,RollingExpInfl,adjusted_value,composite_confidence_growth_yoy,MoMConfidence,RollingComp,housing_yoy,MoMRetail,RollingHousing,real_yield,detrendedm2,mom2diff,maxtight,TenYieldNorm,detrendedyield,detrendedshiller,ShillerOver,CPIDetrend,CPIDeviation,CPIGoalDev,CPIDev,CPIOver,Drawdown% 2,Drawdown% 7,Drawdown% 66,Drawdown% 132,Drawdown% 252,Forward Return,positive_ret,Forward lag_1,Forward lag_2,Forward lag_3,Forward lag_4,Forward lag_5,Forward lag_6,Forward lag_7,Forward lag_8,Forward lag_9,Forward lag_10,Anomaly,Combined Economy Score
1992-07-10,10,3267.0,638.0,414.2300109863281,0.0096276011962164,-0.0074510999647103,0.0169289536884704,0.1721279517273009,139.7,0.0021520803443326,0.03023598820059,0.0333692144585369,3468.5,0.0218601773561557,-0.1040767747724674,3423.70701754386,3.2100000381469727,6.909999847412109,3.6999998092651367,7.8,0.0263157894736842,7.766666666666667,2.51,0.0,19.62,0.0114942528735633,-1.204397801099452,0.0171872981511726,-0.0645161290322581,0.0322580645161298,-0.2424859944463867,99.1980864117354,-0.003560864096018,-0.3889545980482515,98.87528747620996,0.0715667311411991,-0.0432658047439702,0.1345033861779408,3.8864010273531058,1940.0715301488167,-0.0186714349406198,0.1490312957250234,83.88137546032397,7.260824424810551,-6.183616876133488,0.0,4.132008520511127e-06,8.74450174931997e-08,0.0199958679914794,0.0318991097922847,0.0318991097922847,0.0,-1.1298053138732422,-4.188869313093776,-6.243313377755726,,0.0112256325547541,1.0,0.0251291741963268,0.0318457294522291,0.025420426026397,0.0323481741739473,0.0274413544813858,0.0386631994240738,0.032498675760697,0.0348741513965318,0.0208871143325117,0.0192155552594952,0.0315412571313161,13.061083013210428
1992-07-17,11,3273.0,644.0,415.6199951171875,-0.0045983938986479,0.0225803317381461,0.0204809971840078,0.1760611270381826,140.1,0.0028632784538296,0.0301470588235293,0.0319682027451526,3458.8,0.0176832318239328,-0.1910755555259347,3418.6464285714287,3.1600000858306885,6.900000095367432,3.740000009536743,7.8,0.0263157894736842,7.766666666666667,2.63,0.0,19.62,0.0114942528735633,-1.204397801099452,0.0171872981511726,-0.0645161290322581,0.0322580645161298,-0.2424859944463867,99.1980864117354,-0.003560864096018,-0.3889545980482515,98.87528747620996,0.0715667311411991,-0.0432658047439702,0.1345033861779408,3.885294213014501,1918.994589846775,-0.0214719506797003,0.1490312957250234,83.51076347147959,6.943019453935705,-6.185561922767334,0.0,3.289423958722018e-05,2.8674786049215854e-05,0.0199671057604127,0.0318991097922847,0.0318991097922847,-0.4598393898647934,-0.493199960428269,-4.188869313093776,-5.815782410228657,,0.0123189335867828,1.0,0.005676091077946,0.0015104408381527,0.0002394323531629,0.0097138834495817,0.0115769098622227,0.0112256325547541,0.0251291741963268,0.0318457294522291,0.025420426026397,0.0323481741739473,0.0318800652274654,13.399889270299887
1992-07-24,12,3277.0,648.0,412.0799865722656,0.0027985153602347,0.0186663333991745,-0.0094969568485984,0.166044124757309,140.1,0.0028632784538296,0.0301470588235293,0.0319682027451526,3458.8,0.0176832318239328,-0.1910755555259347,3418.6464285714287,3.1600000858306885,6.71999979019165,3.559999704360962,7.8,0.0263157894736842,7.766666666666667,2.52,0.0,19.62,0.0114942528735633,-1.204397801099452,0.0171872981511726,-0.0645161290322581,0.0322580645161298,-0.2424859944463867,99.1980864117354,-0.003560864096018,-0.3889545980482515,98.87528747620996,0.0715667311411991,-0.0432658047439702,0.1345033861779408,3.70529390783872,1911.4099629787463,-0.0177770079309809,0.1490312957250234,83.26728693618554,6.734747597288006,-6.186858620523232,0.0,3.289423958721671e-05,2.8674786049212384e-05,0.0199671057604127,0.0318991097922847,0.0318991097922847,0.0,-1.5830856286504755,-4.188869313093776,-5.646492254110673,,0.0067220433447674,1.0,0.0178376298164906,0.0107066719142108,0.0183444020251128,0.0123189335867828,0.005676091077946,0.0015104408381527,0.0002394323531629,0.0097138834495817,0.0115769098622227,0.0112256325547541,0.027421610004306,14.635888012648556
1992-07-31,13,3279.0,650.0,411.5400085449219,-0.0001457666610885,0.0192155552594952,-0.0131862860693294,0.1645161733236089,140.1,0.0028632784538296,0.0301470588235293,0.0319682027451526,3458.8,0.0176832318239328,-0.1910755555259347,3418.6464285714287,3.190000057220459,6.690000057220459,3.5,7.8,0.0263157894736842,7.766666666666667,2.42,0.0,19.62,0.0114942528735633,-1.204397801099452,0.0171872981511726,-0.0645161290322581,0.0322580645161298,-0.2424859944463867,99.1980864117354,-0.003560864096018,-0.3889545980482515,98.87528747620996,0.0715667311411991,-0.0432658047439702,0.1345033861779408,3.675294174867529,1907.6176495447328,-0.0177770079309809,0.0,83.10057150930238,6.58563450972801,-6.187506969401181,0.0,3.289423958722018e-05,2.8674786049215854e-05,0.0199671057604127,0.0318991097922847,0.0318991097922847,-0.0145766661088583,-1.12843522845523,-4.188869313093776,-5.407537912708158,,0.0001700364610668,1.0,-0.0021380098876655,0.0067220433447674,0.0178376298164906,0.0107066719142108,0.0183444020251128,0.0123189335867828,0.005676091077946,0.0015104408381527,0.0002394323531629,0.0097138834495817,0.0261094985874836,14.991932158872846
1992-08-07,14,3288.0,659.0,418.8800048828125,-0.004065696925669,0.0251291741963268,0.0073529589121501,0.1852858294205486,140.1,0.0028632784538296,0.0301470588235293,0.0319682027451526,3458.8,0.0176832318239328,-0.1910755555259347,3418.6464285714287,3.140000104904175,6.570000171661377,3.430000066757202,7.7,-0.0128205128205127,7.625,2.39,0.0,19.62,0.0114942528735633,-1.204397801099452,0.0171872981511726,-0.0645161290322581,0.0322580645161298,-0.2424859944463867,99.1980864117354,-0.003560864096018,-0.3889545980482515,98.87528747620996,0.0715667311411991,-0.0432658047439702,0.1345033861779408,3.5552942893084465,1890.552239091669,-0.0114705503797658,0.0,82.15065323595137,5.714926763331292,-6.190424539351948,0.0,3.289423958720977e-05,2.8674786049205445e-05,0.0199671057604127,0.0318991097922847,0.0318991097922847,-0.4065696925669064,-1.460865112935285,-4.123832348518226,-5.323579730825899,,-0.0083454428212437,0.0,-0.0099717933412273,-0.0099717933412273,-0.0150343448615892,-0.0212190103069421,-0.0239975316018911,-0.021419175321364,-0.0206049119689716,-0.0096042808813052,0.0001700364610668,-0.0021380098876655,0.0239452000689886,16.38934645592523
1992-08-14,15,3292.0,663.0,417.7300109863281,-0.0001196509960141,0.0002394323531629,-0.017196352823093,0.1820317436357559,140.5,0.0028551034975017,0.0315712187958885,0.0309592909015149,3454.9,0.0197461629279811,0.1166602985578859,3421.0736842105266,3.0899999141693115,6.550000190734863,3.460000276565552,7.7,-0.0128205128205127,7.625,2.36,0.0,19.62,0.0114942528735633,-1.204397801099452,0.0171872981511726,-0.0645161290322581,0.0322580645161298,-0.2424859944463867,99.1980864117354,-0.003560864096018,-0.3889545980482515,98.87528747620996,0.0715667311411991,-0.0432658047439702,0.1345033861779408,3.39287831114601,1879.067612223641,-0.0125987452432028,0.0108024955949592,81.62292094447734,5.22239915050362,-6.191721237107846,0.0,3.251257516019568e-05,2.829312162219135e-05,0.0199674874248398,0.0318991097922847,0.0318991097922847,-0.011965099601419,-1.0563943791390715,-3.843891053343555,-5.323579730825899,,0.0043084585145969,1.0,0.0025066085601483,-0.0072958561303825,-0.0105997001280794,-0.0083454428212437,-0.0099717933412273,-0.0099717933412273,-0.0150343448615892,-0.0212190103069421,-0.0239975316018911,-0.021419175321364,0.0255320262416208,13.324496753481938
1992-08-21,16,3298.0,669.0,414.8500061035156,-0.0081528321677709,0.0178376298164906,-0.0015277730727719,0.1738823239058391,140.5,0.0028551034975017,0.0315712187958885,0.0309592909015149,3454.9,0.0197461629279811,0.1166602985578859,3421.0736842105266,3.069999933242798,6.53000020980835,3.460000276565552,7.7,-0.0128205128205127,7.625,2.4,0.0,19.62,0.0114942528735633,-1.204397801099452,0.0171872981511726,-0.0645161290322581,0.0322580645161298,-0.2424859944463867,99.1980864117354,-0.003560864096018,-0.3889545980482515,98.87528747620996,0.0715667311411991,-0.0432658047439702,0.1345033861779408,3.372878330219496,1867.6906719215983,-0.0061274106235966,0.0108359398216747,80.86730416602546,4.5195893900212525,-6.193666283741688,0.0,3.251257516019221e-05,2.829312162218788e-05,0.0199674874248398,0.0318991097922847,0.0318991097922847,-0.815283216777094,-1.5403214246886732,-3.843891053343555,-4.904845158233885,,0.0092765380199431,1.0,0.0113345374272526,-0.0033464747575935,-0.0019488920132924,-0.0003334396590134,0.0180498834870412,0.0043084585145969,0.0025066085601483,-0.0072958561303825,-0.0105997001280794,-0.0083454428212437,0.022639433094835,14.291179173419232
1992-09-04,17,3308.0,679.0,417.0799865722656,-0.0021532714254413,-0.0099717933412273,0.0154758773146015,0.1801923989122447,140.5,0.0028551034975017,0.0315712187958885,0.0309592909015149,3454.9,0.0197461629279811,0.1166602985578859,3421.0736842105266,2.9200000762939453,6.400000095367432,3.4800000190734863,7.6,-0.0129870129870131,7.566666666666666,2.51,0.0,19.71,-0.0759951749095296,2.6701199176896657,0.0199876521540254,-0.1290322580645161,1.1290322580645178,-0.2399713342117624,99.0213885809245,-0.0066587719322382,0.5919083602365436,98.78524716012949,0.2270058708414872,0.4641878669275923,0.1755409871497276,3.2428782157785783,1848.729104751528,-0.0078386028092953,0.0,79.88620179604203,3.6264987166537,-6.106908028131432,0.0,-3.152798042270477e-06,7.3722515802748036e-06,0.0200031527980422,0.0318991097922847,0.0318991097922847,-0.2153271425441297,-0.2153271425441297,-3.380459488810281,-4.123832348518226,,-0.024905505977533,0.0,-0.0179673897512543,0.0005287601048629,0.0091055938574187,0.0047246925860104,0.0074722422726574,0.002031380905064,0.0166663008995795,0.0163615144154918,0.0055200880106784,0.0092765380199431,0.034328236705106,14.908718476002235
1992-09-11,18,3312.0,682.0,419.9500122070313,0.0086224108506427,-0.0072958561303825,0.0036640368023574,0.188313580814716,140.5,0.0028551034975017,0.0315712187958885,0.0309592909015149,3467.9,0.0227078356778436,0.1499872537598512,3430.0225806451613,2.9100000858306885,6.309999942779541,3.3999998569488525,7.6,-0.0129870129870131,7.566666666666666,2.48,0.0,19.71,-0.0759951749095296,2.6701199176896657,0.0199876521540254,-0.1290322580645161,1.1290322580645178,-0.2399713342117624,99.0213885809245,-0.0066587719322382,0.5919083602365436,98.78524716012949,0.2270058708414872,0.4641878669275923,0.1755409871497276,3.152878063190688,1854.1444778835005,-0.004082892610878,0.0031796472254066,79.36926404794892,3.1447656472069383,-6.1082047258873295,0.0,-3.152798042270477e-06,7.3722515802748036e-06,0.0200031527980422,0.0318991097922847,0.0318991097922847,0.0,-0.8429595051843183,-3.380459488810281,-4.123832348518226,,-0.0411715871945209,0.0,-0.0206791854512446,-0.0245874007851036,-0.0237364395684541,-0.024905505977533,-0.0179673897512543,0.0005287601048629,0.0091055938574187,0.0047246925860104,0.0074722422726574,0.002031380905064,0.0289327802295023,15.638025080198764
1992-09-18,19,3316.0,686.0,419.9200134277344,0.000357396712459,-0.0003334396590134,0.0042824488738584,0.1882286946239548,140.8,0.0021352313167259,0.0307467057101025,0.0303553562963031,3467.9,0.0227078356778436,0.1499872537598512,3430.0225806451613,2.900000095367432,6.409999847412109,3.5099997520446777,7.6,-0.0129870129870131,7.566666666666666,2.54,0.0,19.71,-0.0759951749095296,2.6701199176896657,0.0199876521540254,-0.1290322580645161,1.1290322580645178,-0.2399713342117624,99.0213885809245,-0.0066587719322382,0.5919083602365436,98.78524716012949,0.2270058708414872,0.4641878669275923,0.1755409871497276,3.3353292764018576,1846.559851015472,0.0006905303501447,0.0190778833524396,78.7899578206337,2.600664098538076,-6.109501423643227,0.0,-1.1080808482520632e-05,1.530026202052496e-05,0.0200110808084825,0.0318991097922847,0.0318991097922847,0.0,-1.293296057113304,-3.3790287319629138,-4.122086964084669,,-0.0245761263912576,0.0,-0.0247754583907278,-0.0375526174742364,-0.0289336587048305,-0.0411715871945209,-0.0206791854512446,-0.0245874007851036,-0.0237364395684541,-0.024905505977533,-0.0179673897512543,0.0005287601048629,0.0259067975812247,16.950718235591925
