,Date,SP Trailing 4 Weeks Return,Forward Return,SP Trailing 1 Week Return,MoMGrowthChange,unemp_rate,T10Y2Y,mom2diff,maxtight,ShillerOver,CPIDev,CPIOver,detrendedyield,Drawdown% 252,Drawdown% 132,Drawdown% 66,Drawdown% 7,Drawdown% 2,RollingConsConf,RollingExpInfl,RollingHousing,Anomaly,Preds
51,1983-06-03,0.0101022509957129,0.0284181228413511,0.0033653740219456,-0.0595323570593876,10.1,0.78,0.0051101447129493,0.6726504441332667,0.0,0.0447761194029852,0.0447761194029852,3.2240149673629475,-6.07064026779674,-4.500328154378802,-2.4727756719407306,-1.867292976595352,0.0,0.0461641677169097,-0.3636369928327459,0.3015965735134482,0.0363225297474285,0.039372973
52,1983-06-10,-0.0248267260798593,0.0388061466244873,-0.0034484731861476,0.0496952498993781,10.1,0.69,0.0174867778024676,0.6726504441332667,0.0,0.0447761194029852,0.0447761194029852,3.4513518736059865,-6.07064026779674,-4.097224765965659,-2.917998861443389,-2.105200013441583,0.0,0.0461641677169097,-0.3636369928327459,0.3015965735134482,0.0390240687033577,0.027472295
53,1983-06-17,0.0331683614506954,-0.0306846544882035,0.0391349447071636,0.0496952498993781,10.1,0.61,0.0226408380036149,0.6726504441332667,0.0,0.04,0.04,3.5605352298485826,-5.965479267523994,-4.026249014525259,-2.8674507041605506,-0.0059090143502443,-0.0059090143502443,0.0461641677169097,-0.3636369928327459,0.3015965735134482,0.0386105960226641,0.005581759
54,1983-06-24,0.0462584174031057,-0.0122814552666914,0.03730896197466,0.0496952498993781,10.1,0.57,0.0226408380036149,0.6726504441332667,0.0,0.04,0.04,3.630261245316177,-5.900936471449539,-3.9826874903901937,-2.83642666103635,-0.2456273205758236,-0.2456273205758236,0.0461641677169097,-0.3636369928327459,0.3015965735134482,0.0408123414940117,-0.005054203
55,1983-07-01,0.0313134189008286,-0.0334049518247699,-0.0169471612639177,0.0496952498993781,10.1,0.76,0.0101187651612919,0.6726504441332667,0.0,0.04,0.04,3.718800495470034,-5.900936471449539,-3.9826874903901937,-3.1054521590708406,-2.866866646222616,0.0,0.0876272034918721,-0.327400854541813,0.3771713117956276,0.0395875499818852,0.0047600893
56,1983-07-08,0.0294279852577434,-0.0472827930853249,-0.0053425686774553,0.0496952498993781,10.0,0.64,0.0101187651612919,0.6726504441332667,0.0,0.04,0.04,3.854619523329859,-5.900936471449539,-3.9826874903901937,-3.1054521590708406,-1.2096734425498537,-0.2864620043762018,0.0876272034918721,-0.327400854541813,0.3771713117956276,0.0375733655327371,0.0003211191
57,1983-07-15,0.0028997506861525,-0.0035911885203077,-0.0035414860448028,0.0221796247686072,10.0,0.69,0.0185219764772979,0.6726504441332667,0.0,0.04,0.04,4.122251396587132,-5.900936471449539,-3.947599147992223,-3.918364811853935,-2.2723260426801337,-1.0360829333274262,0.0876272034918721,-0.327400854541813,0.3771713117956276,0.0361417412480496,0.005423535
58,1983-07-22,-0.0086201913518201,-0.0269406303996744,0.0213254322801237,0.0221796247686072,10.0,0.66,0.0243880980346169,0.6726504441332667,0.0,0.04,0.04,4.493694540138108,-5.900936471449539,-4.1172047013024535,-4.1172047013024535,-1.216845436996359,-0.1005549339880911,0.0876272034918721,-0.327400854541813,0.3771713117956276,0.0360222756705994,0.0049424586
59,1983-07-29,-0.0051644921126846,-0.0175714615514827,0.0222018875108458,0.0221796247686072,10.0,0.8,0.0243880980346169,0.6726504441332667,0.0,0.04,0.04,4.868024523389437,-5.900936471449539,-4.1172047013024535,-4.1172047013024535,-3.219378134324232,-1.521572353648461,0.0876272034918721,-0.327400854541813,0.3771713117956276,0.0374500197145264,0.013596901
60,1983-08-05,-0.0424382364541788,0.0227483922847067,-0.0539494341998383,0.0221796247686072,9.5,0.83,0.0075703037969905,0.6726504441332667,0.0,0.04,0.04,5.486547483169858,-5.900936471449539,-5.649455144614033,-5.649455144614033,-2.247934807320336,0.0,0.1296755155072025,-0.3234204503776979,0.4494957446622291,0.0362740299288851,0.031859886
61,1983-08-12,-0.0236916068455951,0.0243902600294623,-0.0029010631235054,-0.0345191109039337,9.5,0.69,0.0125691352391053,0.6726504441332667,0.0,0.04,0.04,6.050587838158819,-6.906843931211499,-6.906843931211499,-6.906843931211499,-1.5786955843421644,0.0,0.1296755155072025,-0.3234204503776979,0.4494957446622291,0.0370124156590766,0.037420325
62,1983-08-19,0.0028515103811974,0.0058080147187455,0.0383842247234955,-0.0345191109039337,9.5,0.85,0.0226262853794407,0.6726504441332667,0.0,0.04,0.04,6.377793011298493,-6.906843931211499,-6.906843931211499,-6.906843931211499,-1.0526893974536682,-1.0526893974536682,0.1296755155072025,-0.3234204503776979,0.4494957446622291,0.0379778724095125,0.031156003
63,1983-08-26,-0.0544185706076687,0.0512247721354168,-0.0149663835914229,-0.0345191109039337,9.5,0.79,0.0226262853794407,0.6726504441332667,0.0,0.04,0.04,6.745821363566719,-6.906843931211499,-6.906843931211499,-6.906843931211499,-2.6922361479795187,-0.2542658369670542,0.1296755155072025,-0.3234204503776979,0.4494957446622291,0.0410068570064351,0.044616967
64,1983-09-02,0.0048335369207797,0.0096206653605221,0.0089696591310166,-0.0345191109039337,9.5,0.83,-0.0015675580382152,0.6726504441332667,0.0,0.04,0.04,7.356831561072965,-6.906843931211499,-6.906843931211499,-6.906843931211499,-0.1030291933001893,0.0,0.1757745757902319,-0.3313616268482862,0.5116566108648587,0.0436724354588782,0.032958034
65,1983-09-09,0.0477112293554207,0.0343277964917025,0.0340215979812692,-0.0752622921865409,9.5,0.8,0.0033127895178983,0.6726504441332667,0.0,0.04,0.04,7.891504307205707,-6.906843931211499,-6.906843931211499,-6.906843931211499,-0.619200109162659,-0.5066496285803288,0.1757745757902319,-0.3313616268482862,0.5116566108648587,0.0474593570662959,0.01879375
66,1983-09-16,0.0059359965667027,0.025142813087406,-0.0209065133098828,-0.0752622921865409,9.5,0.85,0.0076881821490957,0.6726504441332667,0.0,0.04,0.04,8.363343929767638,-6.906843931211499,-6.906843931211499,-6.906843931211499,-2.020623057351199,0.0,0.1757745757902319,-0.3313616268482862,0.5116566108648587,0.0441621206372001,0.024832744
67,1983-09-23,0.0429439703317475,-0.0207656723953814,0.0300970349710512,-0.0752622921865409,9.5,0.88,0.0076881821490957,0.6726504441332667,0.0,0.04,0.04,8.837915359302585,-6.906843931211499,-6.906843931211499,-6.6557240278908445,-0.4889266363761957,-0.1472667342657889,0.1757745757902319,-0.3313616268482862,0.5116566108648587,0.0475185498634607,0.0120509425
68,1983-09-30,0.0387935938683272,-0.0188095456077934,0.0131127378994362,-0.0752622921865409,9.5,0.9,0.0076881821490957,0.6726504441332667,0.0,0.04,0.04,9.118150624792037,-6.906843931211499,-6.906843931211499,-6.6557240278908445,-1.2171501352807736,-0.255294599821638,0.1757745757902319,-0.3313616268482862,0.5116566108648587,0.0468498473491243,0.008311093
69,1983-10-07,0.0138127647814516,-0.0520491758243966,0.0109838282014103,-0.0752622921865409,9.3,0.88,-0.001232850868666,0.6726504441332667,0.0,0.04,0.04,9.733103825695338,-6.906843931211499,-6.906843931211499,-6.6452025179860295,-0.8313806461203681,0.0,0.1757745757902319,-0.3313616268482862,0.5116566108648587,0.0423009772771946,0.0060269525
70,1983-10-14,0.0273358865849824,-0.0193100127605727,0.0216514750238858,-0.0002610012048185,9.3,0.93,0.0032044389267742,0.6726504441332667,0.0,0.04,0.04,10.127084995536975,-6.840436278534555,-6.840436278534555,-6.573997396328169,-1.7549950109546884,-0.0058836210768373,0.1757745757902319,-0.3313616268482862,0.5116566108648587,0.0451855832624227,0.0074095586
71,1983-10-21,-0.008491229163794,0.0006026279322368,-0.0197252593788164,-0.0002610012048185,9.3,0.95,0.0108433843226123,0.6726504441332667,0.0,0.04,0.04,10.456867138321272,-6.840436278534555,-6.840436278534555,-6.573997396328169,-2.628642797668609,-0.61683962489586,0.1757745757902319,-0.3313616268482862,0.5116566108648587,0.0459843617968973,0.016912878
72,1983-10-28,-0.0181083413026075,0.0108839505370936,-0.0296308631695806,-0.0002610012048185,9.3,1.06,0.0108433843226123,0.6726504441332667,0.0,0.04,0.04,10.728751819898363,-6.840436278534555,-6.840436278534555,-4.523601410189672,-1.281590276921716,-0.3265258973142022,0.1757745757902319,-0.3313616268482862,0.5116566108648587,0.0462341785799805,0.0097414
73,1983-11-04,-0.0255753452034829,0.0141327476397885,-0.0181414323921162,-0.0002610012048185,8.8,1.09,-0.0017015967607534,0.6726504441332667,0.0,0.04,0.04,11.132822526259927,-6.840436278534555,-6.840436278534555,-5.913693493206679,-1.4559536215742472,-0.6179226220210703,0.2501078990571486,-0.3362721923988442,0.5257934583350395,0.0523907753587472,0.009621021
74,1983-11-11,-0.0630755851412177,0.0212660890097944,-0.0098549345563526,-0.0002610012048185,8.8,1.1,-0.0017015967607534,0.6726504441332667,0.0,0.04,0.04,11.385739070689397,-6.840436278534555,-6.840436278534555,-6.307558514121782,-1.86847967694762,0.0,0.2501078990571486,-0.3362721923988442,0.5257934583350395,0.0563619875673761,0.015895803
75,1983-11-18,-0.003598577701081,-0.022933831617481,0.0270153964167689,0.0098844696142059,8.8,1.04,0.0181994875844182,0.6726504441332667,0.0,0.0344108446298228,0.0344108446298228,11.829267117825909,-6.840436278534555,-6.840436278534555,-6.307558514121782,-0.8944684096445292,-0.6260208958974589,0.2501078990571486,-0.3362721923988442,0.5257934583350395,0.0535292763344397,0.010325914
76,1983-11-25,0.0029435062748299,-0.0224006069883163,0.0022812155038745,0.0098844696142059,8.8,0.92,0.0181994875844182,0.6726504441332667,0.0,0.0344108446298228,0.0344108446298228,12.074361095058478,-6.840436278534555,-6.840436278534555,-6.307558514121782,-0.6220891198020355,0.0,0.2501078990571486,-0.3362721923988442,0.5257934583350395,0.0532149865738748,0.0070263846
