Date,T10Y2Y,Close,TenYield,CPIUS,m2,unemp_rate,Trade Balance,Shiller_PE,Inverted12months,SP Daily Return,Cumulative Returns,Trade Balance MoM,Trade Balance YoY,Trade Balance Rolling 12,Real_Yield,CPI YoY
2000-01-18,0.28,1455.14001464844,6.7480001449585,168.7,4683.9,4,-28003,43.77,0,-0.00683207152771137,-0.00960352925068031,0,0,0,0.28,
2000-01-19,0.27,1455.90002441406,6.72499990463257,168.7,4683.9,4,-28003,43.77,0,0.000522293221253189,-0.00908625188765488,0,0,0,0.27,
2000-01-20,0.3,1445.56994628906,6.7480001449585,168.7,4683.9,4,-28003,43.77,0,-0.00709532107409461,-0.0161171030872465,0,0,0,0.3,
2000-01-21,0.31,1441.35998535156,6.7810001373291,168.7,4683.9,4,-28003,43.77,0,-0.00291231908100154,-0.0189824840213966,0,0,0,0.31,
2000-01-22,0.31,1441.35998535156,6.7810001373291,168.7,4683.9,4,-28003,43.77,0,0,-0.0189824840213966,0,0,0,0.31,
2000-01-23,0.31,1441.35998535156,6.7810001373291,168.7,4683.9,4,-28003,43.77,0,0,-0.0189824840213966,0,0,0,0.31,
2000-01-24,0.26,1401.53002929688,6.68400001525879,168.7,4683.9,4,-28003,43.77,0,-0.0276335935917997,-0.0460915233643862,0,0,0,0.26,
2000-01-25,0.26,1410.03002929688,6.68400001525879,168.7,4683.9,4,-28003,43.77,0,0.00606480048398561,-0.0403062587736085,0,0,0,0.26,
2000-01-26,0.24,1404.08996582031,6.67999982833862,168.7,4683.9,4,-28003,43.77,0,-0.00421272125638672,-0.0443491809968942,0,0,0,0.24,
2000-01-27,0.17,1398.56005859375,6.68499994277954,168.7,4683.9,4,-28003,43.77,0,-0.00393842799334565,-0.0481129429343198,0,0,0,0.17,
2000-01-28,0.08,1360.16003417969,6.64799976348877,168.7,4683.9,4,-28003,43.77,0,-0.0274568290279029,-0.0742487431140458,0,0,0,0.08,
2000-01-29,0.08,1360.16003417969,6.64799976348877,168.7,4683.9,4,-28003,43.77,0,0,-0.0742487431140458,0,0,0,0.08,
2000-01-30,0.08,1360.16003417969,6.64799976348877,168.7,4683.9,4,-28003,43.77,0,0,-0.0742487431140458,0,0,0,0.08,
2000-01-31,0.07,1394.4599609375,6.66699981689453,168.7,4683.9,4,-28003,43.77,0,0.0252175669743884,-0.0509035487919001,0,0,0,0.07,
2000-02-01,0.02,1409.28002929688,6.61700010299683,169.7,4683.7,4.1,-29241,42.18,0,0.0106278192092453,-0.0408167232963241,-0.0442095489768953,-0.0442095489768953,0.00368412908140795,-0.572768227622997,
